,ZIP,Crime_Type,Crime_Count
0,90001,personal,340
1,90001,property,354
2,90002,personal,1261
3,90002,property,1171
4,90003,personal,3335
5,90003,property,2600
6,90004,personal,960
7,90004,property,1646
8,90005,personal,677
9,90005,property,961
10,90006,personal,1320
11,90006,property,1677
12,90007,personal,878
13,90007,property,1714
14,90008,personal,1027
15,90008,property,1215
16,90009,personal,125
17,90009,property,433
18,90010,personal,266
19,90010,property,328
20,90011,personal,2134
21,90011,property,2392
22,90012,personal,985
23,90012,property,1510
24,90013,personal,2180
25,90013,property,2459
26,90014,personal,486
27,90014,property,620
28,90015,personal,857
29,90015,property,1350
30,90016,personal,1141
31,90016,property,1525
32,90017,personal,813
33,90017,property,1216
34,90018,personal,1063
35,90018,property,1318
36,90019,personal,1266
37,90019,property,1977
38,90020,personal,749
39,90020,property,1154
40,90021,personal,599
41,90021,property,1152
42,90023,personal,730
43,90023,property,1030
44,90024,personal,317
45,90024,property,819
46,90025,personal,575
47,90025,property,1950
48,90026,personal,847
49,90026,property,2062
50,90027,personal,628
51,90027,property,1586
52,90028,personal,1839
53,90028,property,2648
54,90029,personal,795
55,90029,property,998
56,90031,personal,602
57,90031,property,997
58,90032,personal,524
59,90032,property,918
60,90033,personal,1096
61,90033,property,1280
62,90034,personal,563
63,90034,property,1666
64,90035,personal,302
65,90035,property,869
66,90036,personal,624
67,90036,property,1493
68,90037,personal,2251
69,90037,property,2052
70,90038,personal,771
71,90038,property,1176
72,90039,personal,250
73,90039,property,852
74,90040,personal,1
75,90041,personal,251
76,90041,property,585
77,90042,personal,553
78,90042,property,1009
79,90043,personal,978
80,90043,property,1001
81,90044,personal,2618
82,90044,property,2166
83,90045,personal,445
84,90045,property,1585
85,90046,personal,635
86,90046,property,1656
87,90047,personal,1248
88,90047,property,1257
89,90048,personal,463
90,90048,property,1133
91,90049,personal,192
92,90049,property,846
93,90052,personal,51
94,90052,property,51
95,90053,personal,31
96,90053,property,31
97,90056,personal,3
98,90056,property,18
99,90057,personal,1524
100,90057,property,1613
101,90058,personal,215
102,90058,property,293
103,90059,personal,911
104,90059,property,814
105,90061,personal,827
106,90061,property,802
107,90062,personal,1057
108,90062,property,1059
109,90063,personal,155
110,90063,property,215
111,90064,personal,430
112,90064,property,1290
113,90065,personal,508
114,90065,property,922
115,90066,personal,423
116,90066,property,1320
117,90067,personal,65
118,90067,property,217
119,90068,personal,186
120,90068,property,754
121,90069,personal,86
122,90069,property,253
123,90071,personal,281
124,90071,property,362
125,90073,personal,13
126,90073,property,54
127,90074,personal,90
128,90074,property,156
129,90077,personal,53
130,90077,property,180
131,90079,personal,73
132,90079,property,142
133,90081,property,1
134,90086,personal,94
135,90086,property,167
136,90089,personal,139
137,90089,property,223
138,90094,personal,47
139,90094,property,313
140,90095,personal,15
141,90095,property,54
142,90096,personal,26
143,90096,property,86
144,90201,personal,20
145,90201,property,23
146,90202,personal,21
147,90202,property,91
148,90210,personal,79
149,90210,property,177
150,90211,personal,27
151,90211,property,96
152,90212,personal,17
153,90212,property,42
154,90227,personal,18
155,90227,property,156
156,90230,personal,227
157,90230,property,364
158,90232,personal,47
159,90232,property,116
160,90245,personal,102
161,90245,property,176
162,90247,personal,184
163,90247,property,289
164,90248,personal,116
165,90248,property,346
166,90250,personal,5
167,90250,property,36
168,90262,property,1
169,90265,property,5
170,90272,personal,123
171,90272,property,447
172,90275,personal,19
173,90275,property,29
174,90278,property,4
175,90290,personal,3
176,90290,property,8
177,90291,personal,992
178,90291,property,1658
179,90292,personal,247
180,90292,property,624
181,90293,personal,115
182,90293,property,410
183,90296,personal,8
184,90296,property,27
185,90301,personal,35
186,90301,property,94
187,90302,personal,5
188,90302,property,6
189,90304,personal,7
190,90304,property,40
191,90305,personal,39
192,90305,property,46
193,90402,personal,53
194,90402,property,130
195,90403,personal,1
196,90403,property,1
197,90404,personal,22
198,90404,property,80
199,90405,personal,7
200,90405,property,17
201,90501,personal,252
202,90501,property,386
203,90502,personal,47
204,90502,property,176
205,90504,personal,3
206,90504,property,6
207,90505,personal,33
208,90505,property,22
209,90640,personal,9
210,90640,property,7
211,90710,personal,472
212,90710,property,725
213,90717,personal,16
214,90717,property,21
215,90731,personal,1313
216,90731,property,1768
217,90732,personal,186
218,90732,property,422
219,90733,personal,13
220,90733,property,19
221,90744,personal,1141
222,90744,property,1372
223,90745,personal,158
224,90745,property,146
225,90810,personal,26
226,90810,property,75
227,90813,personal,2
228,90813,property,1
229,90831,property,1
230,90851,personal,95
231,90851,property,174
232,91030,personal,6
233,91030,property,7
234,91040,personal,208
235,91040,property,466
236,91042,personal,304
237,91042,property,559
238,91102,property,1
239,91105,personal,3
240,91105,property,3
241,91201,personal,4
242,91201,property,26
243,91203,personal,1
244,91204,personal,1
245,91205,personal,6
246,91205,property,9
247,91206,personal,11
