,id,listing_url,name,host_id,latitude,longitude,property_type,room_type,price,accommodates,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,SuperHost,bedrooms_n,beds_n,baths_n
0,150097,https://www.airbnb.com/rooms/150097,Bed and breakfast in North Hollywood · ★4.96 · 1 bedroom · 2 beds · 1 private bath,647546,34.18163,-118.39925,Private room in bed and breakfast,Private room,$80.00,3,4.96,4.95,4.96,4.99,4.99,4.9,4.95,No,1.0,2.0,1.0
1,40667,https://www.airbnb.com/rooms/40667,Rental unit in Los Angeles · ★4.30 · 1 bedroom · 2 beds · 1.5 shared baths,175264,34.03926,-118.38017,Private room in rental unit,Private room,$59.00,2,4.3,3.82,3.73,4.82,4.64,4.36,4.45,No,1.0,2.0,1.0
2,109,https://www.airbnb.com/rooms/109,Condo in Culver City · 2 bedrooms · 2 beds · 2 baths,521,33.98301,-118.38607,Entire condo,Entire home/apt,$129.00,6,4.0,5.0,5.0,3.0,4.0,5.0,4.0,No,2.0,2.0,2.0
3,152514,https://www.airbnb.com/rooms/152514,Guesthouse in Manhattan Beach · 1 bedroom · 1 bed · 1 bath,733870,33.90502166748047,-118.42046356201172,Entire guesthouse,Entire home/apt,$132.00,2,5.0,4.0,4.0,5.0,5.0,5.0,4.0,Yes,1.0,1.0,1.0
4,43318,https://www.airbnb.com/rooms/43318,Hostel in Los Angeles · ★4.37 · 1 bedroom · 1 bed · 11 shared baths,156094545,34.04828,-118.23605,Private room in hostel,Private room,$47.00,1,4.37,4.54,4.21,4.72,4.73,4.68,4.53,No,1.0,1.0,1.0
5,153412,https://www.airbnb.com/rooms/153412,Home in Los Angeles · ★4.73 · 2 bedrooms · 2 beds · 1 bath,737626,33.98335,-118.46769,Entire home,Entire home/apt,$175.00,4,4.73,4.77,4.12,4.86,4.91,4.91,4.68,No,2.0,2.0,1.0
6,2708,https://www.airbnb.com/rooms/2708,Rental unit in Los Angeles · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,3008,34.09625,-118.34605,Private room in rental unit,Private room,$128.00,1,4.85,4.82,4.92,5.0,4.97,4.97,4.87,No,1.0,1.0,1.0
7,162047,https://www.airbnb.com/rooms/162047,Home in Rancho Palos Verdes · ★4.75 · 1 bedroom · 2 beds · 1 shared bath,774887,33.77191,-118.39385,Private room in home,Private room,$78.00,2,4.75,4.76,4.72,4.85,4.85,4.83,4.71,No,1.0,2.0,1.0
8,2732,https://www.airbnb.com/rooms/2732,Rental unit in Santa Monica · ★4.41 · 1 bedroom · 1 bed · 1 private bath,3041,34.0044,-118.48095,Private room in rental unit,Private room,$179.00,1,4.41,4.26,4.58,4.39,4.48,4.91,4.22,No,1.0,1.0,1.0
9,2864,https://www.airbnb.com/rooms/2864,Rental unit in Bellflower · 1 bedroom · 1 bed · 1 bath,3207,33.8749,-118.11515,Entire rental unit,Entire home/apt,$50.00,2,,,,,,,,No,1.0,1.0,1.0
10,44511,https://www.airbnb.com/rooms/44511,Hotel in Lynwood · ★4.41 · 1 bedroom · 1 bed · 1 shared bath,195697,33.91942,-118.20913,Room in hotel,Private room,$89.00,2,4.41,4.6,4.37,4.71,4.65,3.8,4.5,No,1.0,1.0,1.0
11,45392,https://www.airbnb.com/rooms/45392,Home in Los Angeles · ★4.85 · 1 bedroom · 2 beds · 1 private bath,201514,34.10632,-118.22361,Private room in home,Private room,$61.00,2,4.85,4.96,4.71,4.93,4.96,4.59,4.85,No,1.0,2.0,1.0
12,164946,https://www.airbnb.com/rooms/164946,Hostel in Los Angeles · ★4.29 · 2 bedrooms · 1 bed · 11 shared baths,156094545,34.04827,-118.23603,Private room in hostel,Private room,$46.00,1,4.29,4.34,4.16,4.55,4.42,4.52,4.38,No,2.0,1.0,1.0
13,45417,https://www.airbnb.com/rooms/45417,Bungalow in Los Angeles · ★4.91 · 1 bedroom · 2 beds · 1 bath,50231247,34.09574,-118.27788,Entire bungalow,Entire home/apt,$135.00,4,4.91,4.95,4.89,4.95,4.98,4.91,4.82,Yes,1.0,2.0,1.0
14,165978,https://www.airbnb.com/rooms/165978,Rental unit in Los Angeles · ★4.64 · 2 bedrooms · 2 beds · 2 baths,294812,34.06923,-118.34549,Entire rental unit,Entire home/apt,$173.00,4,4.64,4.73,4.36,4.86,4.77,4.86,4.45,No,2.0,2.0,2.0
15,46446,https://www.airbnb.com/rooms/46446,Home in Los Angeles · ★4.80 · 2 bedrooms · 1 bed · 1 bath,192551,34.07885,-118.28709,Entire home,Entire home/apt,$60.00,1,4.8,4.89,4.9,4.95,4.94,4.42,4.84,Yes,2.0,1.0,1.0
16,46699,https://www.airbnb.com/rooms/46699,Hotel in Lynwood · ★4.48 · 1 bedroom · 1 bed · 1 private bath,195697,33.91942,-118.20913,Room in hotel,Private room,$89.00,2,4.48,4.65,4.36,4.81,4.77,3.99,4.56,No,1.0,1.0,1.0
17,46853,https://www.airbnb.com/rooms/46853,Guesthouse in Los Angeles · ★4.89 · 1 bedroom · 1 bed · 1 bath,75052,34.08574,-118.28536,Entire guesthouse,Entire home/apt,$150.00,2,4.89,4.93,4.98,4.95,4.9,4.84,4.79,No,1.0,1.0,1.0
18,3021,https://www.airbnb.com/rooms/3021,Guest suite in Los Angeles · ★4.15 · 1 bedroom · 1 bed · 1 bath,3415,34.1116,-118.38223,Entire guest suite,Entire home/apt,$71.00,2,4.15,4.15,3.92,4.08,4.38,4.6,4.04,No,1.0,1.0,1.0
19,180926,https://www.airbnb.com/rooms/180926,Guesthouse in Malibu · ★4.93 · 1 bedroom · 3 beds · 1 bath,866997,34.07054,-118.89799,Entire guesthouse,Entire home/apt,$236.00,6,4.93,4.92,4.87,4.97,4.98,4.93,4.76,Yes,1.0,3.0,1.0
20,6033,https://www.airbnb.com/rooms/6033,Bungalow in Woodland Hills · ★4.38 · 1 bedroom · 1 bed · 1 bath,11619,34.16887,-118.64478,Entire bungalow,Entire home/apt,$89.00,3,4.38,4.18,4.0,4.59,4.35,4.65,4.29,No,1.0,1.0,1.0
