GEO_ID,NAME,P1_001N,P1_001NA
Geography,Geographic Area Name, !!Total,Annotation of  !!Total
860Z200US89010,ZCTA5 89010,333,null
860Z200US89019,ZCTA5 89019,2501,null
860Z200US89060,ZCTA5 89060,11857,null
860Z200US89061,ZCTA5 89061,7891,null
860Z200US89439,ZCTA5 89439,2154,null
860Z200US90001,ZCTA5 90001,55859,null
860Z200US90002,ZCTA5 90002,53150,null
860Z200US90003,ZCTA5 90003,72764,null
860Z200US90004,ZCTA5 90004,58585,null
860Z200US90005,ZCTA5 90005,37987,null
860Z200US90006,ZCTA5 90006,58229,null
860Z200US90007,ZCTA5 90007,40944,null
860Z200US90008,ZCTA5 90008,33041,null
860Z200US90010,ZCTA5 90010,5400,null
860Z200US90011,ZCTA5 90011,102308,null
860Z200US90012,ZCTA5 90012,33851,null
860Z200US90013,ZCTA5 90013,15589,null
860Z200US90014,ZCTA5 90014,9254,null
860Z200US90015,ZCTA5 90015,27324,null
860Z200US90016,ZCTA5 90016,46512,null
860Z200US90017,ZCTA5 90017,27295,null
860Z200US90018,ZCTA5 90018,50179,null
860Z200US90019,ZCTA5 90019,62002,null
860Z200US90020,ZCTA5 90020,38694,null
860Z200US90021,ZCTA5 90021,5192,null
860Z200US90022,ZCTA5 90022,64517,null
860Z200US90023,ZCTA5 90023,45939,null
860Z200US90024,ZCTA5 90024,52862,null
860Z200US90025,ZCTA5 90025,45466,null
860Z200US90026,ZCTA5 90026,63329,null
860Z200US90027,ZCTA5 90027,44471,null
860Z200US90028,ZCTA5 90028,32330,null
860Z200US90029,ZCTA5 90029,34695,null
860Z200US90031,ZCTA5 90031,37333,null
860Z200US90032,ZCTA5 90032,43506,null
860Z200US90033,ZCTA5 90033,46081,null
860Z200US90034,ZCTA5 90034,57152,null
860Z200US90035,ZCTA5 90035,30294,null
860Z200US90036,ZCTA5 90036,39549,null
860Z200US90037,ZCTA5 90037,63706,null
860Z200US90038,ZCTA5 90038,27414,null
860Z200US90039,ZCTA5 90039,28059,null
860Z200US90040,ZCTA5 90040,12089,null
860Z200US90041,ZCTA5 90041,26654,null
860Z200US90042,ZCTA5 90042,58295,null
860Z200US90043,ZCTA5 90043,46179,null
860Z200US90044,ZCTA5 90044,94354,null
860Z200US90045,ZCTA5 90045,41035,null
860Z200US90046,ZCTA5 90046,49987,null
860Z200US90047,ZCTA5 90047,50154,null
860Z200US90048,ZCTA5 90048,22604,null
860Z200US90049,ZCTA5 90049,36980,null
860Z200US90052,ZCTA5 90052,13,null
860Z200US90056,ZCTA5 90056,8184,null
860Z200US90057,ZCTA5 90057,45510,null
860Z200US90058,ZCTA5 90058,3751,null
860Z200US90059,ZCTA5 90059,43551,null
860Z200US90061,ZCTA5 90061,29570,null
860Z200US90062,ZCTA5 90062,32524,null
860Z200US90063,ZCTA5 90063,50227,null
860Z200US90064,ZCTA5 90064,27553,null
860Z200US90065,ZCTA5 90065,44328,null
860Z200US90066,ZCTA5 90066,55304,null
860Z200US90067,ZCTA5 90067,3344,null
860Z200US90068,ZCTA5 90068,24361,null
860Z200US90069,ZCTA5 90069,20584,null
860Z200US90071,ZCTA5 90071,907,null
860Z200US90073,ZCTA5 90073,936,null
860Z200US90077,ZCTA5 90077,8874,null
860Z200US90079,ZCTA5 90079,16,null
860Z200US90089,ZCTA5 90089,5172,null
860Z200US90094,ZCTA5 90094,12746,null
860Z200US90095,ZCTA5 90095,1,null
860Z200US90201,ZCTA5 90201,95810,null
860Z200US90210,ZCTA5 90210,21134,null
860Z200US90211,ZCTA5 90211,8260,null
860Z200US90212,ZCTA5 90212,11451,null
860Z200US90220,ZCTA5 90220,50412,null
860Z200US90221,ZCTA5 90221,52561,null
860Z200US90222,ZCTA5 90222,32397,null
860Z200US90230,ZCTA5 90230,32743,null
860Z200US90232,ZCTA5 90232,16452,null
860Z200US90240,ZCTA5 90240,26495,null
860Z200US90241,ZCTA5 90241,44921,null
860Z200US90242,ZCTA5 90242,42939,null
860Z200US90245,ZCTA5 90245,17272,null
