,ZIP,Crime_Type,Crime_Count,Population,Crime_Rate
0,90001,personal,340,55859.0,0.0060867541488390416
1,90001,property,354,55859.0,0.006337385202026531
2,90002,personal,1261,53150.0,0.02372530573847601
3,90002,property,1171,53150.0,0.022031984948259642
4,90003,personal,3335,72764.0,0.04583310428233742
5,90003,property,2600,72764.0,0.035731955362541916
6,90004,personal,960,58585.0,0.016386447042758386
7,90004,property,1646,58585.0,0.028095928992062813
8,90005,personal,677,37987.0,0.01782188643483297
9,90005,property,961,37987.0,0.025298128307052414
10,90006,personal,1320,58229.0,0.022669116763124903
11,90006,property,1677,58229.0,0.028800082433151866
12,90007,personal,878,40944.0,0.021443923407581087
13,90007,property,1714,40944.0,0.041862055490425945
14,90008,personal,1027,33041.0,0.031082594352471172
15,90008,property,1215,33041.0,0.0367724947792137
16,90009,personal,125,0.0,1.0
17,90009,property,433,0.0,1.0
18,90010,personal,266,5400.0,0.04925925925925926
19,90010,property,328,5400.0,0.06074074074074074
20,90011,personal,2134,102308.0,0.020858583883958243
21,90011,property,2392,102308.0,0.02338038081088478
22,90012,personal,985,33851.0,0.029098106407491654
23,90012,property,1510,33851.0,0.04460724941656081
24,90013,personal,2180,15589.0,0.13984219642055296
25,90013,property,2459,15589.0,0.15773943165052282
26,90014,personal,486,9254.0,0.052517830127512426
27,90014,property,620,9254.0,0.06699805489518046
28,90015,personal,857,27324.0,0.03136436832089006
29,90015,property,1350,27324.0,0.04940711462450593
30,90016,personal,1141,46512.0,0.024531303749570004
31,90016,property,1525,46512.0,0.03278723770209838
32,90017,personal,813,27295.0,0.029785675032057153
33,90017,property,1216,27295.0,0.04455028393478659
34,90018,personal,1063,50179.0,0.021184160704677255
35,90018,property,1318,50179.0,0.026265967835150162
36,90019,personal,1266,62002.0,0.020418696171091256
37,90019,property,1977,62002.0,0.03188606819134867
38,90020,personal,749,38694.0,0.01935700625419962
39,90020,property,1154,38694.0,0.029823745283506488
40,90021,personal,599,5192.0,0.11536979969183359
41,90021,property,1152,5192.0,0.2218798151001541
42,90023,personal,730,45939.0,0.01589063758462309
43,90023,property,1030,45939.0,0.02242103659200244
