,listing_id,id,date,comments,Year
414,22215734.0,586440187.0,2020-01-01,"Cute little place, close to LAX and some close places to eat.",2020.0
415,22215734.0,587269486.0,2020-01-02,"Exactly as described. Easy check in, easy check out.",2020.0
416,22215734.0,588498818.0,2020-01-04,"We loved our stay here! The space was super clean, self check-in was a breeze, and it was easy to find. Isaac was very prompt and clear with communication which was awesome! It had everything a hotel room would have, excellent heat/AC, even a hair dryer, and the TV was much bigger than I expected. The mattress was like a memory foam mattress. We weren't in the area for LAX BUT if you need to stay close to the airport it is super convenient. Would stay again!",2020.0
417,22215734.0,589298416.0,2020-01-05,This was my second time staying here and as usually the host was accommodating. The place was super clean and check in/check out is a breeze. House is pretty close to everything and there is plenty of parking. Definitely would stay here again.,2020.0
418,22215734.0,589814771.0,2020-01-06,Great host! Perfect location,2020.0
419,22215734.0,593369678.0,2020-01-15,Nice place,2020.0
420,22215734.0,594141979.0,2020-01-17,"Awesome spot, super clean, very close to LAX. Definitely stay here.",2020.0
421,22215734.0,594348744.0,2020-01-18,房间位置很好 离机场很近 路边停车位很多 停车很方便 整个住宅区很安静 房间很干净 床很舒服 房东的回复很迅速 入住指南很详细,2020.0
422,22215734.0,596755814.0,2020-01-23,"This is a great, well thought out, airbnb. It's not so spacious that I would want to do a long stay, but for short stays and business trips. This place is awesome. Charging ports and night stands, a nice and very clean bathroom, and a large closet to tuck things into make this a nice space to be in. I would not hesitate to book this room again.",2020.0
423,22215734.0,597146128.0,2020-01-24,I really enjoyed my stay at Issac's place. The rental was close to the airport and central to where I needed to be. The check-in process was simple and Issac was accessible. I will be staying here again.,2020.0
424,22215734.0,597530133.0,2020-01-25,Overall we had a great stay. The space was clean and stylish and had everything we needed for a quick overnight — exactly as advertised! This would be a five star review except for the heating/cooling units outside of the bathroom that kept kicking on every hour or so all night which woke us up multiple times. Otherwise very convenient location and very responsive and accommodating hosts!,2020.0
425,22215734.0,598145253.0,2020-01-26,Definitely recommended to anyone traveling to LA. Good proximity to the airport and surrounding neighborhoods and the amenities are awesome - easy communication with the host.,2020.0
426,22215734.0,599051771.0,2020-01-28,"Super clean, excellent location, fantastic host!",2020.0
427,22215734.0,599620881.0,2020-01-30,Excellent place.,2020.0
428,22215734.0,600461737.0,2020-02-01,The stay amazing! Everything exceeded expectations and the place was fantastic! Would definitely stay again!,2020.0
429,22215734.0,602427996.0,2020-02-06,"Nice place, if you have business near LAX consider staying here.",2020.0
430,22215734.0,602760309.0,2020-02-07,Very convenient clean and quiet loved it,2020.0
431,22215734.0,603159679.0,2020-02-08,"Great place to stay! Comfortable, clean and great hospitality.",2020.0
432,22215734.0,604309640.0,2020-02-10,Only stay one night before our flight back home. Location is conveniently close to LAX with plenty of parking on the street. The place is sparkling clean and Isaac is quick to get back to our text. Plaisant stay for us,2020.0
433,22215734.0,604585250.0,2020-02-11,"Great place to stay, very clean",2020.0
434,22215734.0,604845783.0,2020-02-12,"Best AirBnB I’ve ever stayed at. Clean, cozy and comfortable! If it’s available, be sure to book it.",2020.0
435,22215734.0,605142846.0,2020-02-13,Nice place close to LAX with huge tv!,2020.0
436,22215734.0,605529172.0,2020-02-14,"Great place to book for a night or more. Super clean, has everything you need, safe neighborhood with street parking, good privacy, etc. The host was great with his response time and it was very close to our destination for that night.",2020.0
437,22215734.0,607348808.0,2020-02-17,"This place exceeded me and my fiance’s expectations. Its very close to everything. We rented a car and gps everywhere we wanted to go which was more convenient for us. Only thing the water take a lil while to get hot, I suggest letting it run maybe 10-15 mins before assuming something is wrong like I did. But, yeah other than that I would definitely stay again! NEIGHBORHOOD is veryyyy quiet!",2020.0
438,22215734.0,607823823.0,2020-02-18,"Great experience, would definitely recommend.",2020.0
439,22215734.0,608475634.0,2020-02-20,"Issac's place was just perfect! Easy check in and perfectly clean and stylish! Thanks, Issac!",2020.0
440,22215734.0,608899249.0,2020-02-21,"If you're flying LAX, this is the place to stay. Easy parking, safe and secure entrance, comfy bed and super clean. The bathroom is gorgeous and chargers on the nightstand are an amazing touch. Stay here!",2020.0
441,22215734.0,610632149.0,2020-02-24,Great place!,2020.0
442,22215734.0,611014951.0,2020-02-25,Great location for those flying into/out of LAX! About a 5 minute drive from the airport.,2020.0
443,22215734.0,611391459.0,2020-02-26,Great place! Very clean and cute!,2020.0
444,22215734.0,611691590.0,2020-02-27,This place is perfect. Its very private and clean. Check-in was not an issue at all as well as checking out. Will definitely be staying here next time.,2020.0
445,22215734.0,612088367.0,2020-02-28,"Issac’s place was great! I was in town for a seminar and my flight had landed early, Issac was generous  and able to accommodate an early check in. We had great communication prior to my stay. The place was very clean and conveniently close to the airport. I’ll definitely be back to stay  here in the future.",2020.0
446,22215734.0,614040176.0,2020-03-03,"Sparkling clean place, easy check in, and so convenient to the airport!",2020.0
447,22215734.0,614609882.0,2020-03-05,とても親切に、素早く対応していただきました！,2020.0
448,22215734.0,615267258.0,2020-03-07,Just as advertised. We would stay again!,2020.0
449,22215734.0,617065790.0,2020-03-11,Nice suite. Easy access. Complementary beverages. Big TV. Clean.,2020.0
450,22215734.0,619921831.0,2020-03-19,Great Place !,2020.0
451,22215734.0,620310115.0,2020-03-21,"Wonderful Space! Isaac was quick to respond, informative and very hospitable. Easy access, plenty of parking, comfy bed, great shower, and a BIG TV with many choices to view. <br/>Nice touches like the coffee machine, mini fridge with H2O and sparkling soda! <br/>You won't be disappointed in any way!!",2020.0
452,22215734.0,621270962.0,2020-03-29,Isaacs place was amazing. Clean quiet secluded and spacious. Was very pleased would recommend and book again,2020.0
453,22215734.0,622875618.0,2020-04-21,"Nice guest house clean , fresh",2020.0
454,22215734.0,623184428.0,2020-04-26,Very nice,2020.0
455,22215734.0,623361166.0,2020-04-29,"Great place that is conveniently located near the airport! Issac helped us check in at 1am after a long flight, and a minor hiccup with the self check lock. Very kind and accommodating. Clean, dog friendly place in a quiet neighborhood. We would highly recommend!",2020.0
456,22215734.0,624324254.0,2020-05-09,Very clean and stylish place. I would definitely come back here again on my next visit and recommend it to my friends!,2020.0
457,22215734.0,624480706.0,2020-05-10,"Great area, nice and quiet. Very cozy bed and great amenities! Perfect for a solo traveler or couple.",2020.0
458,22215734.0,624755158.0,2020-05-14,"Very clean, comfortable, private, and thoughtful place.",2020.0
459,22215734.0,624869305.0,2020-05-15,A GREAT STAY! SUPER CONVENIENT TO LAX!,2020.0
460,22215734.0,626353686.0,2020-05-26,Good place to stay,2020.0
461,22215734.0,626564193.0,2020-05-28,"Great place, feels like home away from home. Clean.<br/>Easy to access and allot of street parking.<br/>Highly recommend.",2020.0
